Stock,Trend,Volume,Hundreds,Passes
EXR,True,True,True,3
SONY,True,True,True,3
TSLA,True,True,True,3
MCO,True,True,True,3
MSFT,True,True,True,3
NVDA,True,True,True,3
KKR,True,True,True,3
ARCB,True,True,True,3
BEN,True,True,True,3
UAA,True,True,True,3
COST,True,True,True,3
TREX,True,True,True,3
ANET,True,True,True,3
IRM,True,True,True,3
ETSY,True,True,True,3
CVS,True,True,True,3
FMC,True,True,True,3
F,True,True,True,3
CAR,True,True,True,3
GSK,True,True,False,2
NFLX,True,False,True,2
MCD,False,True,True,2
APD,True,False,True,2
MAR,False,True,True,2
CNC,True,True,False,2
RKT,True,True,False,2
LULU,True,False,True,2
REGN,True,True,False,2
UNH,True,False,True,2
HD,True,False,True,2
M,True,False,True,2
UBS,True,False,True,2
NKE,True,False,True,2
BX,True,False,True,2
CCJ,True,False,True,2
MCK,False,True,True,2
SU,True,True,False,2
BAC,True,False,True,2
OZK,False,True,True,2
BLK,True,False,True,2
WSM,True,False,True,2
PZZA,False,True,True,2
GS,False,True,True,2
PRU,False,True,True,2
RF,True,False,True,2
SPOT,True,True,False,2
ABT,True,False,True,2
PLNT,False,True,True,2
AMN,False,True,True,2
MRK,True,False,True,2
NXPI,True,True,False,2
APTV,False,True,True,2
KMX,False,True,True,2
PSA,True,False,True,2
CRM,True,False,True,2
BBY,True,False,True,2
BBBY,True,True,False,2
DLTR,True,True,False,2
ADBE,True,False,True,2
RGLD,False,True,True,2
X,True,True,False,2
QCOM,True,True,False,2
FERG,True,False,True,2
MANH,True,False,True,2
CZR,False,True,True,2
DFS,False,True,False,1
BCS,False,True,False,1
CS,False,True,False,1
C,False,True,False,1
ICE,False,False,True,1
SHOP,False,True,False,1
XRX,False,True,False,1
ASGN,False,True,False,1
LAZ,False,True,False,1
CLR,False,True,False,1
WDFC,False,True,False,1
BP,False,True,False,1
SJW,False,True,False,1
CNQ,False,False,True,1
SRE,False,True,False,1
CVX,False,False,True,1
OKE,False,True,False,1
AWK,False,True,False,1
PSX,False,True,False,1
PCG,True,False,False,1
NFG,False,True,False,1
AFL,False,True,False,1
ALL,False,True,False,1
APAM,False,True,False,1
VOD,False,True,False,1
MS,False,False,True,1
MTB,False,True,False,1
VRSK,False,False,True,1
CAT,False,False,True,1
VEEV,True,False,False,1
TEVA,False,True,False,1
FCN,False,False,True,1
PBH,False,False,True,1
MYGN,False,True,False,1
ROCK,False,True,False,1
KSU,True,False,False,1
LMT,False,True,False,1
PYPL,False,True,False,1
MIDD,True,False,False,1
GILD,False,True,False,1
DLR,True,False,False,1
MET,False,True,False,1
BMY,False,True,False,1
AZN,False,False,True,1
ACHC,False,True,False,1
DOC,False,False,True,1
ABBV,False,True,False,1
WBK,False,True,False,1
WFC,False,False,True,1
TROW,True,False,False,1
RY,False,True,False,1
GOOG,False,False,True,1
BECN,True,False,False,1
FB,False,True,False,1
SFM,False,True,False,1
XOM,False,False,True,1
LYFT,False,True,False,1
WH,False,False,True,1
URBN,True,False,False,1
EL,False,True,False,1
TXRH,False,True,False,1
TGT,True,False,False,1
SBUX,False,True,False,1
SIRI,False,True,False,1
ORLY,False,True,False,1
NTES,False,False,True,1
MAT,True,False,False,1
LCII,False,True,False,1
HAS,False,True,False,1
HOG,False,True,False,1
HRB,False,True,False,1
EDR,False,True,False,1
DPZ,False,False,True,1
CAKE,False,True,False,1
GOOS,False,True,False,1
BYD,False,True,False,1
BWA,False,True,False,1
AMZN,False,True,False,1
ATVI,False,True,False,1
ANF,True,False,False,1
KWR,True,False,False,1
IOSP,False,True,False,1
EMN,False,True,False,1
WMT,True,False,False,1
UGI,False,True,False,1
PEP,False,False,True,1
CTVA,False,True,False,1
DEO,False,False,True,1
TAP,False,True,False,1
MNST,False,True,False,1
BNS,False,False,False,0
CCL,False,False,False,0
FIZZ,False,False,False,0
BURL,False,False,False,0
AZO,False,False,False,0
WBA,False,False,False,0
AEO,False,False,False,0
AAPL,False,False,False,0
BIDU,False,False,False,0
CTSH,False,False,False,0
DXC,False,False,False,0
ZTO,False,False,False,0
CEA,False,False,False,0
FTNT,False,False,False,0
ZNH,False,False,False,0
SNA,False,False,False,0
RTX,False,False,False,0
CMG,False,False,False,0
PCAR,False,False,False,0
MA,False,False,False,0
CPG,False,False,False,0
DAL,False,False,False,0
DG,False,False,False,0
GE,False,False,False,0
MKC,False,False,False,0
FICO,False,False,False,0
DE,False,False,False,0
AAL,False,False,False,0
AMC,False,False,False,0
GPS,False,False,False,0
MTCH,False,False,False,0
SO,False,False,False,0
ASH,False,False,False,0
BHP,False,False,False,0
HSY,False,False,False,0
FCX,False,False,False,0
HNP,False,False,False,0
FE,False,False,False,0
D,False,False,False,0
TR,False,False,False,0
AEP,False,False,False,0
KL,False,False,False,0
VZ,False,False,False,0
VEON,False,False,False,0
CMCSA,False,False,False,0
BCE,False,False,False,0
T,False,False,False,0
PKX,False,False,False,0
THS,False,False,False,0
TWTR,False,False,False,0
ROLL,False,False,False,0
SAP,False,False,False,0
RIO,False,False,False,0
TSN,False,False,False,0
ORCL,False,False,False,0
UL,False,False,False,0
BABA,False,False,False,0
UNFI,False,False,False,0
FL,False,False,False,0
BILL,False,False,False,0
BA,False,False,False,0
WEN,False,False,False,0
SKYW,False,False,False,0
LUV,False,False,False,0
SAVE,False,False,False,0
SEIC,False,False,False,0
GIS,False,False,False,0
SFIX,False,False,False,0
TAL,False,False,False,0
PNC,False,False,False,0
ONB,False,False,False,0
NWG,False,False,False,0
SUN,False,False,False,0
DIS,False,False,False,0
L,False,False,False,0
TJX,False,False,False,0
CPB,False,False,False,0
KEY,False,False,False,0
JPM,False,False,False,0
TM,False,False,False,0
UBER,False,False,False,0
GBCI,False,False,False,0
ULTA,False,False,False,0
CL,False,False,False,0
DB,False,False,False,0
VFC,False,False,False,0
KO,False,False,False,0
CASY,False,False,False,0
YUM,False,False,False,0
ZNGA,False,False,False,0
PTR,False,False,False,0
RBA,False,False,False,0
QSR,False,False,False,0
PTON,False,False,False,0
GM,False,False,False,0
SNP,False,False,False,0
KDP,False,False,False,0
ET,False,False,False,0
AXP,False,False,False,0
HMC,False,False,False,0
H,False,False,False,0
IHG,False,False,False,0
JBLU,False,False,False,0
LVS,False,False,False,0
PFE,False,False,False,0
NVS,False,False,False,0
ACH,False,False,False,0
SYY,False,False,False,0
MDC,False,False,False,0
JNJ,False,False,False,0
IQV,False,False,False,0
ILMN,False,False,False,0
GMED,False,False,False,0
HES,False,False,False,0
NOV,False,False,False,0
GMAB,False,False,False,0
EDU,False,False,False,0
NCLH,False,False,False,0
BAX,False,False,False,0
K,False,False,False,0
AMGN,False,False,False,0
PG,False,False,False,0
